name,issn,publisher
Nature,0028-0836,Springer Nature
Science,0036-8075,American Association for the Advancement of Science
PLOS ONE,1932-6203,Public Library of Science
Cell,0092-8674,Elsevier
The Lancet,0140-6736,Elsevier
PNAS,0027-8424,National Academy of Sciences
Journal of Biological Chemistry,0021-9258,American Society for Biochemistry and Molecular Biology
New England Journal of Medicine,0028-4793,Massachusetts Medical Society
BMJ,0959-8138,BMJ Publishing Group
Physical Review Letters,0031-9007,American Physical Society
